Question,Model Answer
"In four colour process printing, which is also known as CMYK, which are the only four colours that are used?","[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: In four colour process printing, which is also known as CMYK, which are the only four colours that are used? [/INST] Answer: Cyan, Magenta, Yellow, and Key/Black."
What are the first four books of the Bible?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What are the first four books of the Bible? [/INST] Answer: Genesis, Exodus, Leviticus, and Numbers. These are the first books in the Christian Old Testament. In the Jewish Tanakh, they are called Genesis, Exodus, Leviticus, and Numbers as well, but they are ordered differently in some other canonical traditions, such as the Ethiopian Orthodox Church and the Septuagint."
Which four American states begin with the letter I?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Which four American states begin with the letter I? [/INST] Answer: Illinois, Indiana, Iowa, and Idaho."
Bon Scott was the lead singer for which famous rock band?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Bon Scott was the lead singer for which famous rock band? [/INST] Answer: ""AC/DC"""
"What are the first names of the four children who enter Narnia in The Lion, The Witch And The Wardrobe?","[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What are the first names of the four children who enter Narnia in The Lion, The Witch And The Wardrobe? [/INST] Answer: Edmund, Lucy, Peter, and Susan."
"Eye for eye, tooth for tooth.  According to Exodus what comes next?","[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Eye for eye, tooth for tooth.  According to Exodus what comes next? [/INST] Answer: ""A life for a life, an eye for an eye, a tooth for a tooth, a hand for a hand, a foot for a foot, a burn for a burn, a wound for a wound, a stripe for a stripe."" (Exodus 21:24)"
"What was the name of the cat that survived the sinking of the Bismarck, HMS Cossack and the HMS Ark Royal in WW II ?","[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What was the name of the cat that survived the sinking of the Bismarck, HMS Cossack and the HMS Ark Royal in WW II ? [/INST] There is no recorded evidence of a cat named Survivor or any specific cat surviving the sinking of the German battleship Bismarck, the British destroyer HMS Cossack, and the aircraft carrier HMS Ark Royal during World War II. The stories of cats surviving such events are likely to be myths or urban legends."
What are the dry constituents of dry Martini?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What are the dry constituents of dry Martini? [/INST] Answer: Dry Martini's main ingredients are gin and dry vermouth, with a green olive or lemon peel for garnish. The term ""dry"" refers to the minimal amount of vermouth used in the cocktail."
What was the world's first jet-driven airliner to enter commercial service?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What was the world's first jet-driven airliner to enter commercial service? [/INST] The world's first jet-driven airliner to enter commercial service was the De Havilland Comet 1, which made its inaugural flight on July 27, 1952."
Where do locusts lay their eggs?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Where do locusts lay their eggs? [/INST] Answer: Locusts lay their eggs in the ground."
The geographic region of Patagonia is situated between which two South American countries?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: The geographic region of Patagonia is situated between which two South American countries? [/INST] Argentina and Chile."
Where in the human body would you find the scaphoid bone?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Where in the human body would you find the scaphoid bone? [/INST] Answer: The scaphoid bone is located in the wrist, specifically in the carpal bones of the hand."
Who won a gold medal in the 100 metres breaststroke at the 1980 Olympics in Moscow?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Who won a gold medal in the 100 metres breaststroke at the 1980 Olympics in Moscow? [/INST] Answer: ""Rollo Mainoldi won a gold medal in the 100 metres breaststroke at the 1980 Olympics in Moscow for the United States."""
"Who won the gold medal in the heptathlon in the 2000 Olympics?""","[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Who won the gold medal in the heptathlon in the 2000 Olympics?"" [/INST] Answer: Mykyzina Mikhalina won the gold medal in the heptathlon at the 2000 Olympics."
Name any year that Leonardo Da Vinci was alive.,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Name any year that Leonardo Da Vinci was alive. [/INST] Answer: Leonardo Da Vinci lived from 1452 to 1519."
The Smurfs are described as being how tall?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: The Smurfs are described as being how tall? [/INST] Answer: The Smurfs are described as being 2 feet tall."
What temperature is the same in Celsius as it is in Fahrenheit?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What temperature is the same in Celsius as it is in Fahrenheit? [/INST] Answer: 0°C is equal to 32°F."
What are the two main ingredients of Hollandaise sauce?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What are the two main ingredients of Hollandaise sauce? [/INST] Answer: ""Butter and egg yolks"""
"On a beach, what colours are the flags denoting a lifeguard area?","[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: On a beach, what colours are the flags denoting a lifeguard area? [/INST] Answer: Red and yellow or red and green flags denote a lifeguard area on a beach."
The 1993 movie Free Willy was centred around what type of animal?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: The 1993 movie Free Willy was centred around what type of animal? [/INST] Answer: A killer whale."
Which element is most common in the human body?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Which element is most common in the human body? [/INST] Oxygen, making up about 65% of the human body. (Note: This refers to the total body weight, not the percentage in individual cells or tissues.)"
Which two elements would you find at the centre of the Earth?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Which two elements would you find at the centre of the Earth? [/INST] The center of the Earth is not accessible, and there is no definitive answer as to what specific elements or materials are present at its exact core. Scientists believe that the inner core consists primarily of iron and nickel, while the outer core is a liquid outer layer also composed mainly of iron. However, the precise composition and distribution of elements in the Earth's core remain topics of ongoing research."
"In 1967, Louis Washkansky became the first person to receive what?","[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: In 1967, Louis Washkansky became the first person to receive what? [/INST] Answer: A heart transplant."
"What size is an Olympic sized ice rink used for figure skating and ice hockey? Is it 25x50 metres, 27.5x50 metres, or 30x60 metres?","[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What size is an Olympic sized ice rink used for figure skating and ice hockey? Is it 25x50 metres, 27.5x50 metres, or 30x60 metres? [/INST] An Olympic-sized ice rink used for figure skating and ice hockey is typically 60x30 meters (197x100 feet). This size is in accordance with International Ice Hockey Federation (IIHF) and International Skating Union (ISU) regulations for international competitions."
Name the two female characters in Scooby Doo?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Name the two female characters in Scooby Doo? [/INST] Answer: Velma and Daphne."
Who scored the first ever Golden Goal in the 1998 World Cup?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Who scored the first ever Golden Goal in the 1998 World Cup? [/INST] Answer: Mauricio Taricco (Argentina) scored the first ever Golden Goal in the 1998 World Cup against South Korea."
Who crowned Napoleon as Emperor?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Who crowned Napoleon as Emperor? [/INST] Answer: Napoleon crowoned himself as Emperor. He did not have a monarch to crown him."
The Titanic had three anchors.What was their combined weight (in tons)?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: The Titanic had three anchors.What was their combined weight (in tons)? [/INST] Answer: The combined weight of the Titanic's three anchors was approximately 13,600 tons."
How long is a dog watch at sea?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: How long is a dog watch at sea? [/INST] A dog watch is a period of time at sea lasting 4 hours."
What is the capital of Switzerland?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What is the capital of Switzerland? [/INST] Answer: Bern or Zurich (federal capital administration is in Bern, but Zurich is the largest city)"
